NCBI Accession,Shortcut,Genus
LC494138.1,Bovine-CoV,Betacoronavirus
LC494137.1,Bovine-CoV,Betacoronavirus
LC494136.1,Bovine-CoV,Betacoronavirus
LC494135.1,Bovine-CoV,Betacoronavirus
LC494134.1,Bovine-CoV,Betacoronavirus
LC494133.1,Bovine-CoV,Betacoronavirus
LC494132.1,Bovine-CoV,Betacoronavirus
LC494131.1,Bovine-CoV,Betacoronavirus
LC494130.1,Bovine-CoV,Betacoronavirus
LC494129.1,Bovine-CoV,Betacoronavirus
LC494128.1,Bovine-CoV,Betacoronavirus
LC494127.1,Bovine-CoV,Betacoronavirus
LC494126.1,Bovine-CoV,Betacoronavirus
LC494192.1,Bovine-CoV,Betacoronavirus
LC494191.1,Bovine-CoV,Betacoronavirus
LC494190.1,Bovine-CoV,Betacoronavirus
LC494189.1,Bovine-CoV,Betacoronavirus
LC494188.1,Bovine-CoV,Betacoronavirus
LC494187.1,Bovine-CoV,Betacoronavirus
LC494186.1,Bovine-CoV,Betacoronavirus
LC494185.1,Bovine-CoV,Betacoronavirus
LC494184.1,Bovine-CoV,Betacoronavirus
LC494183.1,Bovine-CoV,Betacoronavirus
LC494182.1,Bovine-CoV,Betacoronavirus
LC494181.1,Bovine-CoV,Betacoronavirus
LC494180.1,Bovine-CoV,Betacoronavirus
LC494179.1,Bovine-CoV,Betacoronavirus
MG757141.1,Bovine-CoV,Betacoronavirus
MG757140.1,Bovine-CoV,Betacoronavirus
MG757139.1,Bovine-CoV,Betacoronavirus
KX982264.1,Bovine-CoV,Betacoronavirus
KU886219.1,Bovine-CoV,Betacoronavirus
AF391542.1,Bovine-CoV,Betacoronavirus
AB354579.1,Bovine-CoV,Betacoronavirus
EF424620.1,Bovine-CoV,Betacoronavirus
EF424616.1,Bovine-CoV,Betacoronavirus
EF424615.1,Bovine-CoV,Betacoronavirus
DQ811784.2,Bovine-CoV,Betacoronavirus
FJ938064.1,Bovine-CoV,Betacoronavirus
DQ915164.2,Bovine-CoV,Betacoronavirus
MG518518.1,Bovine-CoV,Betacoronavirus
FJ425190.1,Bovine-CoV,Betacoronavirus
FJ425188.1,Bovine-CoV,Betacoronavirus
FJ425187.1,Bovine-CoV,Betacoronavirus
FJ425186.1,Bovine-CoV,Betacoronavirus
FJ425184.1,Bovine-CoV,Betacoronavirus
EF424624.1,Bovine-CoV,Betacoronavirus
EF424623.1,Bovine-CoV,Betacoronavirus
EF424622.1,Bovine-CoV,Betacoronavirus
EF424621.1,Bovine-CoV,Betacoronavirus
FJ938065.1,Bovine-CoV,Betacoronavirus
FJ415324.1,Bovine-CoV,Betacoronavirus
KP849472.1,CoV-Alpha1,Alphacoronavirus
MH817484.1,CoV-Alpha1,Alphacoronavirus
MZ328299.1,CoV-Alpha1,Alphacoronavirus
MZ328298.1,CoV-Alpha1,Alphacoronavirus
OP179857.1,CoV-Alpha1,Alphacoronavirus
OM830321.1,CoV-Alpha1,Alphacoronavirus
OM830320.1,CoV-Alpha1,Alphacoronavirus
OM830319.1,CoV-Alpha1,Alphacoronavirus
OM830318.1,CoV-Alpha1,Alphacoronavirus
OM950729.1,CoV-Alpha1,Alphacoronavirus
OM950728.1,CoV-Alpha1,Alphacoronavirus
OM802899.1,CoV-Alpha1,Alphacoronavirus
MW308128.1,CoV-Alpha1,Alphacoronavirus
MZ368889.1,CoV-Alpha1,Alphacoronavirus
MT955604.1,CoV-Alpha1,Alphacoronavirus
MT906865.1,CoV-Alpha1,Alphacoronavirus
MT906864.1,CoV-Alpha1,Alphacoronavirus
MZ420153.1,CoV-Alpha1,Alphacoronavirus
MT239440.1,CoV-Alpha1,Alphacoronavirus
MW030110.1,CoV-Alpha1,Alphacoronavirus
MW030109.1,CoV-Alpha1,Alphacoronavirus
MW030108.1,CoV-Alpha1,Alphacoronavirus
MT444152.1,CoV-Alpha1,Alphacoronavirus
MT576083.1,CoV-Alpha1,Alphacoronavirus
MG893511.1,CoV-Alpha1,Alphacoronavirus
MN165107.1,CoV-Alpha1,Alphacoronavirus
KY406735.1,CoV-Alpha1,Alphacoronavirus
KX900411.1,CoV-Alpha1,Alphacoronavirus
KX900410.1,CoV-Alpha1,Alphacoronavirus
KX900409.1,CoV-Alpha1,Alphacoronavirus
KX900408.1,CoV-Alpha1,Alphacoronavirus
KX900407.1,CoV-Alpha1,Alphacoronavirus
KX900406.1,CoV-Alpha1,Alphacoronavirus
KX900405.1,CoV-Alpha1,Alphacoronavirus
KX900404.1,CoV-Alpha1,Alphacoronavirus
KX900403.1,CoV-Alpha1,Alphacoronavirus
KX900402.1,CoV-Alpha1,Alphacoronavirus
KX900401.1,CoV-Alpha1,Alphacoronavirus
KX900400.1,CoV-Alpha1,Alphacoronavirus
KX900399.1,CoV-Alpha1,Alphacoronavirus
KX900398.1,CoV-Alpha1,Alphacoronavirus
KX900397.1,CoV-Alpha1,Alphacoronavirus
KX900396.1,CoV-Alpha1,Alphacoronavirus
KX900395.1,CoV-Alpha1,Alphacoronavirus
KX900394.1,CoV-Alpha1,Alphacoronavirus
KX900393.1,CoV-Alpha1,Alphacoronavirus
NC_038861.1,CoV-Alpha1,Alphacoronavirus
NC_028806.1,CoV-Alpha1,Alphacoronavirus
NC_002306.3,CoV-Alpha1,Alphacoronavirus
LT545990.1,CoV-Alpha1,Alphacoronavirus
KX722530.1,CoV-Alpha1,Alphacoronavirus
KX722529.1,CoV-Alpha1,Alphacoronavirus
KY566211.1,CoV-Alpha1,Alphacoronavirus
KY566210.1,CoV-Alpha1,Alphacoronavirus
KY566209.1,CoV-Alpha1,Alphacoronavirus
KY063618.2,CoV-Alpha1,Alphacoronavirus
KY292377.1,CoV-Alpha1,Alphacoronavirus
KY063617.1,CoV-Alpha1,Alphacoronavirus
KY063616.1,CoV-Alpha1,Alphacoronavirus
KX499468.1,CoV-Alpha1,Alphacoronavirus
KX083668.1,CoV-Alpha1,Alphacoronavirus
DQ443743.1,CoV-Alpha1,Alphacoronavirus
DQ201447.1,CoV-Alpha1,Alphacoronavirus
HQ462571.1,CoV-Alpha1,Alphacoronavirus
FJ755618.2,CoV-Alpha1,Alphacoronavirus
EU074218.2,CoV-Alpha1,Alphacoronavirus
DQ811788.1,CoV-Alpha1,Alphacoronavirus
DQ811787.1,CoV-Alpha1,Alphacoronavirus
DQ811785.1,CoV-Alpha1,Alphacoronavirus
KU729220.1,CoV-Alpha1,Alphacoronavirus
KU215420.1,CoV-Alpha1,Alphacoronavirus
KT696544.1,CoV-Alpha1,Alphacoronavirus
KR270796.1,CoV-Alpha1,Alphacoronavirus
KP981644.1,CoV-Alpha1,Alphacoronavirus
KF530123.1,CoV-Alpha1,Alphacoronavirus
KC175341.1,CoV-Alpha1,Alphacoronavirus
KC175340.1,CoV-Alpha1,Alphacoronavirus
KC175339.1,CoV-Alpha1,Alphacoronavirus
JN856008.2,CoV-Alpha1,Alphacoronavirus
HQ012372.1,CoV-Alpha1,Alphacoronavirus
KP202848.1,CoV-Alpha1,Alphacoronavirus
KC962433.1,CoV-Alpha1,Alphacoronavirus
KP143512.1,CoV-Alpha1,Alphacoronavirus
KP143511.1,CoV-Alpha1,Alphacoronavirus
KP143510.1,CoV-Alpha1,Alphacoronavirus
KP143509.1,CoV-Alpha1,Alphacoronavirus
KP143507.1,CoV-Alpha1,Alphacoronavirus
KC461237.1,CoV-Alpha1,Alphacoronavirus
KC461236.1,CoV-Alpha1,Alphacoronavirus
KC461235.1,CoV-Alpha1,Alphacoronavirus
HM776941.1,CoV-Alpha1,Alphacoronavirus
JN634064.1,CoV-Alpha1,Alphacoronavirus
JQ408981.1,CoV-Alpha1,Alphacoronavirus
JQ408980.1,CoV-Alpha1,Alphacoronavirus
JQ404410.1,CoV-Alpha1,Alphacoronavirus
JQ404409.1,CoV-Alpha1,Alphacoronavirus
GQ152141.1,CoV-Alpha1,Alphacoronavirus
HQ392472.1,CoV-Alpha1,Alphacoronavirus
GU553362.1,CoV-Alpha1,Alphacoronavirus
GQ477367.1,CoV-Alpha1,Alphacoronavirus
DQ848678.1,CoV-Alpha1,Alphacoronavirus
DQ010921.1,CoV-Alpha1,Alphacoronavirus
EU186072.1,CoV-Alpha1,Alphacoronavirus
DQ286389.1,CoV-Alpha1,Alphacoronavirus
KM347965.1,Ferret-CoV,Alphacoronavirus
LC215871.1,Ferret-CoV,Alphacoronavirus
KX512810.1,Ferret-CoV,Alphacoronavirus
KX512809.1,Ferret-CoV,Alphacoronavirus
MK967708.1,MERS-CoV,Betacoronavirus
MN120514.1,MERS-CoV,Betacoronavirus
MH454272.1,MERS-CoV,Betacoronavirus
MH306207.1,MERS-CoV,Betacoronavirus
ON325306.1,MERS-CoV,Betacoronavirus
ON325307.1,MERS-CoV,Betacoronavirus
ON378807.1,MERS-CoV,Betacoronavirus
OL622035.1,MERS-CoV,Betacoronavirus
MW545528.1,MERS-CoV,Betacoronavirus
MW545527.1,MERS-CoV,Betacoronavirus
MT226607.1,MERS-CoV,Betacoronavirus
MT226606.1,MERS-CoV,Betacoronavirus
MT226605.1,MERS-CoV,Betacoronavirus
MT226604.1,MERS-CoV,Betacoronavirus
MT226603.1,MERS-CoV,Betacoronavirus
MT226602.1,MERS-CoV,Betacoronavirus
MT226601.1,MERS-CoV,Betacoronavirus
MT226600.1,MERS-CoV,Betacoronavirus
MT361640.1,MERS-CoV,Betacoronavirus
MN758614.1,MERS-CoV,Betacoronavirus
MN758613.1,MERS-CoV,Betacoronavirus
MN758612.1,MERS-CoV,Betacoronavirus
MN758611.1,MERS-CoV,Betacoronavirus
MN758609.1,MERS-CoV,Betacoronavirus
MN758608.1,MERS-CoV,Betacoronavirus
MN758607.1,MERS-CoV,Betacoronavirus
MN655017.1,MERS-CoV,Betacoronavirus
MN655016.1,MERS-CoV,Betacoronavirus
MN655015.1,MERS-CoV,Betacoronavirus
MN655014.1,MERS-CoV,Betacoronavirus
MN655013.1,MERS-CoV,Betacoronavirus
MN655012.1,MERS-CoV,Betacoronavirus
MN655011.1,MERS-CoV,Betacoronavirus
MN655010.1,MERS-CoV,Betacoronavirus
MN655009.1,MERS-CoV,Betacoronavirus
MN655008.1,MERS-CoV,Betacoronavirus
MN655007.1,MERS-CoV,Betacoronavirus
MN655006.1,MERS-CoV,Betacoronavirus
MN655005.1,MERS-CoV,Betacoronavirus
MN655004.1,MERS-CoV,Betacoronavirus
MN655003.1,MERS-CoV,Betacoronavirus
MN655002.1,MERS-CoV,Betacoronavirus
MN655001.1,MERS-CoV,Betacoronavirus
MN655000.1,MERS-CoV,Betacoronavirus
MN654997.1,MERS-CoV,Betacoronavirus
MN654996.1,MERS-CoV,Betacoronavirus
MN654995.1,MERS-CoV,Betacoronavirus
MN654994.1,MERS-CoV,Betacoronavirus
MN654992.1,MERS-CoV,Betacoronavirus
MN654991.1,MERS-CoV,Betacoronavirus
MN654990.1,MERS-CoV,Betacoronavirus
MN654989.1,MERS-CoV,Betacoronavirus
MN654988.1,MERS-CoV,Betacoronavirus
MN654987.1,MERS-CoV,Betacoronavirus
MN654986.1,MERS-CoV,Betacoronavirus
MN654984.1,MERS-CoV,Betacoronavirus
MN654983.1,MERS-CoV,Betacoronavirus
MN654981.1,MERS-CoV,Betacoronavirus
MN654980.1,MERS-CoV,Betacoronavirus
MN654978.1,MERS-CoV,Betacoronavirus
MN654977.1,MERS-CoV,Betacoronavirus
MN654976.1,MERS-CoV,Betacoronavirus
MN654975.1,MERS-CoV,Betacoronavirus
MN654974.1,MERS-CoV,Betacoronavirus
MN654973.1,MERS-CoV,Betacoronavirus
MN654972.1,MERS-CoV,Betacoronavirus
MN654971.1,MERS-CoV,Betacoronavirus
MN654970.1,MERS-CoV,Betacoronavirus
MW086535.1,MERS-CoV,Betacoronavirus
MW086534.1,MERS-CoV,Betacoronavirus
MW086533.1,MERS-CoV,Betacoronavirus
MW086532.1,MERS-CoV,Betacoronavirus
MW086528.1,MERS-CoV,Betacoronavirus
NC_019843.3,MERS-CoV,Betacoronavirus
MT576585.1,MERS-CoV,Betacoronavirus
MG987421.1,MERS-CoV,Betacoronavirus
MG987420.1,MERS-CoV,Betacoronavirus
MN723544.1,MERS-CoV,Betacoronavirus
MN723543.1,MERS-CoV,Betacoronavirus
MN723542.1,MERS-CoV,Betacoronavirus
MN507638.1,MERS-CoV,Betacoronavirus
MK280984.2,MERS-CoV,Betacoronavirus
MN365233.1,MERS-CoV,Betacoronavirus
MN365232.1,MERS-CoV,Betacoronavirus
MN120513.1,MERS-CoV,Betacoronavirus
KJ477103.2,MERS-CoV,Betacoronavirus
MK564475.1,MERS-CoV,Betacoronavirus
MK564474.1,MERS-CoV,Betacoronavirus
MH259486.1,MERS-CoV,Betacoronavirus
MH259485.1,MERS-CoV,Betacoronavirus
MH029552.1,MERS-CoV,Betacoronavirus
MK483839.1,MERS-CoV,Betacoronavirus
MK462256.1,MERS-CoV,Betacoronavirus
MK462255.1,MERS-CoV,Betacoronavirus
MK462254.1,MERS-CoV,Betacoronavirus
MK462253.1,MERS-CoV,Betacoronavirus
MK462252.1,MERS-CoV,Betacoronavirus
MK462251.1,MERS-CoV,Betacoronavirus
MK462250.1,MERS-CoV,Betacoronavirus
MK462249.1,MERS-CoV,Betacoronavirus
MK462248.1,MERS-CoV,Betacoronavirus
MK462247.1,MERS-CoV,Betacoronavirus
MK462246.1,MERS-CoV,Betacoronavirus
MK462245.1,MERS-CoV,Betacoronavirus
MK462244.1,MERS-CoV,Betacoronavirus
MK462243.1,MERS-CoV,Betacoronavirus
MK129253.1,MERS-CoV,Betacoronavirus
MG757605.1,MERS-CoV,Betacoronavirus
MG757604.1,MERS-CoV,Betacoronavirus
MG757603.1,MERS-CoV,Betacoronavirus
MG757602.1,MERS-CoV,Betacoronavirus
MG757600.1,MERS-CoV,Betacoronavirus
MG757599.1,MERS-CoV,Betacoronavirus
MG757598.1,MERS-CoV,Betacoronavirus
MG757597.1,MERS-CoV,Betacoronavirus
MG757596.1,MERS-CoV,Betacoronavirus
MG757595.1,MERS-CoV,Betacoronavirus
MG757594.1,MERS-CoV,Betacoronavirus
MG757593.1,MERS-CoV,Betacoronavirus
MK357909.1,MERS-CoV,Betacoronavirus
MK357908.1,MERS-CoV,Betacoronavirus
MH734115.1,MERS-CoV,Betacoronavirus
MK039553.1,MERS-CoV,Betacoronavirus
MK039552.1,MERS-CoV,Betacoronavirus
MG520076.1,MERS-CoV,Betacoronavirus
MG546331.1,MERS-CoV,Betacoronavirus
MF000460.1,MERS-CoV,Betacoronavirus
MF000459.1,MERS-CoV,Betacoronavirus
MF000458.1,MERS-CoV,Betacoronavirus
MF000457.1,MERS-CoV,Betacoronavirus
MH310912.1,MERS-CoV,Betacoronavirus
MH310911.1,MERS-CoV,Betacoronavirus
MH310909.1,MERS-CoV,Betacoronavirus
MG912603.1,MERS-CoV,Betacoronavirus
MG366483.1,MERS-CoV,Betacoronavirus
MH432120.1,MERS-CoV,Betacoronavirus
MH395139.1,MERS-CoV,Betacoronavirus
MH371127.1,MERS-CoV,Betacoronavirus
MG021452.1,MERS-CoV,Betacoronavirus
MH013216.1,MERS-CoV,Betacoronavirus
MF593268.1,MERS-CoV,Betacoronavirus
MG923481.1,MERS-CoV,Betacoronavirus
MG923478.1,MERS-CoV,Betacoronavirus
MG923475.1,MERS-CoV,Betacoronavirus
MG923468.1,MERS-CoV,Betacoronavirus
MG923467.1,MERS-CoV,Betacoronavirus
MG923466.1,MERS-CoV,Betacoronavirus
MG596803.1,MERS-CoV,Betacoronavirus
MG596802.1,MERS-CoV,Betacoronavirus
KY688124.1,MERS-CoV,Betacoronavirus
KY688123.1,MERS-CoV,Betacoronavirus
KY688122.1,MERS-CoV,Betacoronavirus
KY688121.1,MERS-CoV,Betacoronavirus
KY688119.1,MERS-CoV,Betacoronavirus
KY673149.1,MERS-CoV,Betacoronavirus
KY673148.1,MERS-CoV,Betacoronavirus
KY581700.1,MERS-CoV,Betacoronavirus
KY581699.1,MERS-CoV,Betacoronavirus
KY581696.1,MERS-CoV,Betacoronavirus
KY581694.1,MERS-CoV,Betacoronavirus
KY581692.1,MERS-CoV,Betacoronavirus
KY581691.1,MERS-CoV,Betacoronavirus
KY581690.1,MERS-CoV,Betacoronavirus
KY581689.1,MERS-CoV,Betacoronavirus
KY581688.1,MERS-CoV,Betacoronavirus
KY581687.1,MERS-CoV,Betacoronavirus
KY581686.1,MERS-CoV,Betacoronavirus
KY581685.1,MERS-CoV,Betacoronavirus
KY581684.1,MERS-CoV,Betacoronavirus
MG366882.1,MERS-CoV,Betacoronavirus
MF598722.1,MERS-CoV,Betacoronavirus
MF598721.1,MERS-CoV,Betacoronavirus
MF598720.1,MERS-CoV,Betacoronavirus
MF598717.1,MERS-CoV,Betacoronavirus
MF598716.1,MERS-CoV,Betacoronavirus
MF598715.1,MERS-CoV,Betacoronavirus
MF598714.1,MERS-CoV,Betacoronavirus
MF598713.1,MERS-CoV,Betacoronavirus
MF598712.1,MERS-CoV,Betacoronavirus
MF598711.1,MERS-CoV,Betacoronavirus
MF598710.1,MERS-CoV,Betacoronavirus
MF598708.1,MERS-CoV,Betacoronavirus
MF598705.1,MERS-CoV,Betacoronavirus
MF598702.1,MERS-CoV,Betacoronavirus
MF598701.1,MERS-CoV,Betacoronavirus
MF598700.1,MERS-CoV,Betacoronavirus
MF598699.1,MERS-CoV,Betacoronavirus
MF598698.1,MERS-CoV,Betacoronavirus
MF598697.1,MERS-CoV,Betacoronavirus
MF598696.1,MERS-CoV,Betacoronavirus
MF598695.1,MERS-CoV,Betacoronavirus
MF598694.1,MERS-CoV,Betacoronavirus
MF598693.1,MERS-CoV,Betacoronavirus
MF598692.1,MERS-CoV,Betacoronavirus
MF598691.1,MERS-CoV,Betacoronavirus
MF598690.1,MERS-CoV,Betacoronavirus
MF598689.1,MERS-CoV,Betacoronavirus
MF598688.1,MERS-CoV,Betacoronavirus
MF598687.1,MERS-CoV,Betacoronavirus
MF598686.1,MERS-CoV,Betacoronavirus
MF598685.1,MERS-CoV,Betacoronavirus
MF598683.1,MERS-CoV,Betacoronavirus
MF598682.1,MERS-CoV,Betacoronavirus
MF598681.1,MERS-CoV,Betacoronavirus
MF598680.1,MERS-CoV,Betacoronavirus
MF598679.1,MERS-CoV,Betacoronavirus
MF598678.1,MERS-CoV,Betacoronavirus
MF598677.1,MERS-CoV,Betacoronavirus
MF598676.1,MERS-CoV,Betacoronavirus
MF598675.1,MERS-CoV,Betacoronavirus
MF598674.1,MERS-CoV,Betacoronavirus
MF598673.1,MERS-CoV,Betacoronavirus
MF598672.1,MERS-CoV,Betacoronavirus
MF598671.1,MERS-CoV,Betacoronavirus
MF598670.1,MERS-CoV,Betacoronavirus
MF598669.1,MERS-CoV,Betacoronavirus
MF598668.1,MERS-CoV,Betacoronavirus
MF598667.1,MERS-CoV,Betacoronavirus
MF598666.1,MERS-CoV,Betacoronavirus
MF598665.1,MERS-CoV,Betacoronavirus
MF598664.1,MERS-CoV,Betacoronavirus
MF598663.1,MERS-CoV,Betacoronavirus
MF598660.1,MERS-CoV,Betacoronavirus
MF598659.1,MERS-CoV,Betacoronavirus
MF598658.1,MERS-CoV,Betacoronavirus
MF598657.1,MERS-CoV,Betacoronavirus
MF598656.1,MERS-CoV,Betacoronavirus
MF598655.1,MERS-CoV,Betacoronavirus
MF598654.1,MERS-CoV,Betacoronavirus
MF598653.1,MERS-CoV,Betacoronavirus
MF598652.1,MERS-CoV,Betacoronavirus
MF598651.1,MERS-CoV,Betacoronavirus
MF598650.1,MERS-CoV,Betacoronavirus
MF598649.1,MERS-CoV,Betacoronavirus
MF598648.1,MERS-CoV,Betacoronavirus
MF598647.1,MERS-CoV,Betacoronavirus
MF598646.1,MERS-CoV,Betacoronavirus
MF598645.1,MERS-CoV,Betacoronavirus
MF598644.1,MERS-CoV,Betacoronavirus
MF598643.1,MERS-CoV,Betacoronavirus
MF598641.1,MERS-CoV,Betacoronavirus
MF598640.1,MERS-CoV,Betacoronavirus
MF598639.1,MERS-CoV,Betacoronavirus
MF598638.1,MERS-CoV,Betacoronavirus
MF598637.1,MERS-CoV,Betacoronavirus
MF598636.1,MERS-CoV,Betacoronavirus
MF598635.1,MERS-CoV,Betacoronavirus
MF598634.1,MERS-CoV,Betacoronavirus
MF598632.1,MERS-CoV,Betacoronavirus
MF598630.1,MERS-CoV,Betacoronavirus
MF598629.1,MERS-CoV,Betacoronavirus
MF598627.1,MERS-CoV,Betacoronavirus
MF598626.1,MERS-CoV,Betacoronavirus
MF598625.1,MERS-CoV,Betacoronavirus
MF598624.1,MERS-CoV,Betacoronavirus
MF598623.1,MERS-CoV,Betacoronavirus
MF598622.1,MERS-CoV,Betacoronavirus
MF598621.1,MERS-CoV,Betacoronavirus
MF598620.1,MERS-CoV,Betacoronavirus
MF598619.1,MERS-CoV,Betacoronavirus
MF598618.1,MERS-CoV,Betacoronavirus
MF598617.1,MERS-CoV,Betacoronavirus
MF598616.1,MERS-CoV,Betacoronavirus
MF598615.1,MERS-CoV,Betacoronavirus
MF598614.1,MERS-CoV,Betacoronavirus
MF598613.1,MERS-CoV,Betacoronavirus
MF598612.1,MERS-CoV,Betacoronavirus
MF598611.1,MERS-CoV,Betacoronavirus
MF598610.1,MERS-CoV,Betacoronavirus
MF598609.1,MERS-CoV,Betacoronavirus
MF598608.1,MERS-CoV,Betacoronavirus
MF598607.1,MERS-CoV,Betacoronavirus
MF598606.1,MERS-CoV,Betacoronavirus
MF598603.1,MERS-CoV,Betacoronavirus
MF598602.1,MERS-CoV,Betacoronavirus
MF598600.1,MERS-CoV,Betacoronavirus
MF598599.1,MERS-CoV,Betacoronavirus
MF598597.1,MERS-CoV,Betacoronavirus
MF598595.1,MERS-CoV,Betacoronavirus
MF598594.1,MERS-CoV,Betacoronavirus
MG011359.2,MERS-CoV,Betacoronavirus
MG011358.2,MERS-CoV,Betacoronavirus
MG011357.2,MERS-CoV,Betacoronavirus
MG011354.2,MERS-CoV,Betacoronavirus
MG011353.2,MERS-CoV,Betacoronavirus
MG011352.2,MERS-CoV,Betacoronavirus
MG011351.2,MERS-CoV,Betacoronavirus
MG011345.2,MERS-CoV,Betacoronavirus
MG011342.2,MERS-CoV,Betacoronavirus
MG011362.1,MERS-CoV,Betacoronavirus
MG011360.1,MERS-CoV,Betacoronavirus
MG011349.1,MERS-CoV,Betacoronavirus
MG011348.1,MERS-CoV,Betacoronavirus
MG011347.1,MERS-CoV,Betacoronavirus
MG011346.1,MERS-CoV,Betacoronavirus
MG011343.1,MERS-CoV,Betacoronavirus
MG011341.1,MERS-CoV,Betacoronavirus
KT225476.2,MERS-CoV,Betacoronavirus
KT326819.1,MERS-CoV,Betacoronavirus
KX154693.1,MERS-CoV,Betacoronavirus
KX154692.1,MERS-CoV,Betacoronavirus
KX154691.1,MERS-CoV,Betacoronavirus
KX154690.1,MERS-CoV,Betacoronavirus
KX154689.1,MERS-CoV,Betacoronavirus
KX154688.1,MERS-CoV,Betacoronavirus
KX154687.1,MERS-CoV,Betacoronavirus
KX154686.1,MERS-CoV,Betacoronavirus
KX154685.1,MERS-CoV,Betacoronavirus
KX108946.1,MERS-CoV,Betacoronavirus
KX108945.1,MERS-CoV,Betacoronavirus
KX108944.1,MERS-CoV,Betacoronavirus
KX108943.1,MERS-CoV,Betacoronavirus
KX108942.1,MERS-CoV,Betacoronavirus
KX108941.1,MERS-CoV,Betacoronavirus
KX108940.1,MERS-CoV,Betacoronavirus
KX108939.1,MERS-CoV,Betacoronavirus
KX108938.1,MERS-CoV,Betacoronavirus
KX108937.1,MERS-CoV,Betacoronavirus
KT861627.1,MERS-CoV,Betacoronavirus
KT877351.1,MERS-CoV,Betacoronavirus
KT368860.1,MERS-CoV,Betacoronavirus
KU710265.1,MERS-CoV,Betacoronavirus
KU710264.1,MERS-CoV,Betacoronavirus
KU851864.1,MERS-CoV,Betacoronavirus
KU851863.1,MERS-CoV,Betacoronavirus
KU851862.1,MERS-CoV,Betacoronavirus
KU851861.1,MERS-CoV,Betacoronavirus
KU851860.1,MERS-CoV,Betacoronavirus
KX034100.1,MERS-CoV,Betacoronavirus
KX034099.1,MERS-CoV,Betacoronavirus
KX034098.1,MERS-CoV,Betacoronavirus
KX034097.1,MERS-CoV,Betacoronavirus
KX034096.1,MERS-CoV,Betacoronavirus
KX034095.1,MERS-CoV,Betacoronavirus
KX034094.1,MERS-CoV,Betacoronavirus
KP209313.1,MERS-CoV,Betacoronavirus
KP209312.1,MERS-CoV,Betacoronavirus
KP209310.1,MERS-CoV,Betacoronavirus
KP209307.1,MERS-CoV,Betacoronavirus
KU308549.1,MERS-CoV,Betacoronavirus
KT026456.1,MERS-CoV,Betacoronavirus
KT026455.1,MERS-CoV,Betacoronavirus
KT026454.1,MERS-CoV,Betacoronavirus
KT374057.1,MERS-CoV,Betacoronavirus
KT374056.1,MERS-CoV,Betacoronavirus
KT374055.1,MERS-CoV,Betacoronavirus
KT374053.1,MERS-CoV,Betacoronavirus
KT374052.1,MERS-CoV,Betacoronavirus
KT374051.1,MERS-CoV,Betacoronavirus
KT806055.1,MERS-CoV,Betacoronavirus
KT806054.1,MERS-CoV,Betacoronavirus
KT806053.1,MERS-CoV,Betacoronavirus
KT806051.1,MERS-CoV,Betacoronavirus
KT806049.1,MERS-CoV,Betacoronavirus
KT806048.1,MERS-CoV,Betacoronavirus
KT806047.1,MERS-CoV,Betacoronavirus
KT806044.1,MERS-CoV,Betacoronavirus
KU242424.1,MERS-CoV,Betacoronavirus
KU242423.1,MERS-CoV,Betacoronavirus
KT368890.1,MERS-CoV,Betacoronavirus
KT368889.1,MERS-CoV,Betacoronavirus
KT368887.1,MERS-CoV,Betacoronavirus
KT368886.1,MERS-CoV,Betacoronavirus
KT368884.1,MERS-CoV,Betacoronavirus
KT368883.1,MERS-CoV,Betacoronavirus
KT368882.1,MERS-CoV,Betacoronavirus
KT368881.1,MERS-CoV,Betacoronavirus
KT368880.1,MERS-CoV,Betacoronavirus
KT368879.1,MERS-CoV,Betacoronavirus
KT368878.1,MERS-CoV,Betacoronavirus
KT368877.1,MERS-CoV,Betacoronavirus
KT368876.1,MERS-CoV,Betacoronavirus
KT368875.1,MERS-CoV,Betacoronavirus
KT368872.1,MERS-CoV,Betacoronavirus
KT368871.1,MERS-CoV,Betacoronavirus
KT368870.1,MERS-CoV,Betacoronavirus
KT368869.1,MERS-CoV,Betacoronavirus
KT368868.1,MERS-CoV,Betacoronavirus
KT368867.1,MERS-CoV,Betacoronavirus
KT368866.1,MERS-CoV,Betacoronavirus
KT368865.1,MERS-CoV,Betacoronavirus
KT368864.1,MERS-CoV,Betacoronavirus
KT368863.1,MERS-CoV,Betacoronavirus
KT368861.1,MERS-CoV,Betacoronavirus
KT368859.1,MERS-CoV,Betacoronavirus
KT368858.1,MERS-CoV,Betacoronavirus
KT368857.1,MERS-CoV,Betacoronavirus
KT368856.1,MERS-CoV,Betacoronavirus
KT368855.1,MERS-CoV,Betacoronavirus
KT368854.1,MERS-CoV,Betacoronavirus
KT368852.1,MERS-CoV,Betacoronavirus
KT368851.1,MERS-CoV,Betacoronavirus
KT368850.1,MERS-CoV,Betacoronavirus
KT368849.1,MERS-CoV,Betacoronavirus
KT368848.1,MERS-CoV,Betacoronavirus
KT368846.1,MERS-CoV,Betacoronavirus
KT368845.1,MERS-CoV,Betacoronavirus
KT368844.1,MERS-CoV,Betacoronavirus
KT368843.1,MERS-CoV,Betacoronavirus
KT368841.1,MERS-CoV,Betacoronavirus
KT368840.1,MERS-CoV,Betacoronavirus
KT368839.1,MERS-CoV,Betacoronavirus
KT368838.1,MERS-CoV,Betacoronavirus
KT368836.1,MERS-CoV,Betacoronavirus
KT368835.1,MERS-CoV,Betacoronavirus
